text,openai_cat_harassment,openai_cat_harassment_threatening,openai_cat_hate,openai_cat_hate_threatening,openai_cat_illicit,openai_cat_illicit_violent,openai_cat_self_harm,openai_cat_self_harm_instructions,openai_cat_self_harm_intent,openai_cat_sexual,openai_cat_sexual_minors,openai_cat_violence,openai_cat_violence_graphic,openai_cat_harassment/threatening,openai_cat_hate/threatening,openai_cat_illicit/violent,openai_cat_self-harm/intent,openai_cat_self-harm/instructions,openai_cat_self-harm,openai_cat_sexual/minors,openai_cat_violence/graphic,openai_score_harassment,openai_score_harassment_threatening,openai_score_hate,openai_score_hate_threatening,openai_score_illicit,openai_score_illicit_violent,openai_score_self_harm,openai_score_self_harm_instructions,openai_score_self_harm_intent,openai_score_sexual,openai_score_sexual_minors,openai_score_violence,openai_score_violence_graphic,openai_score_harassment/threatening,openai_score_hate/threatening,openai_score_illicit/violent,openai_score_self-harm/intent,openai_score_self-harm/instructions,openai_score_self-harm,openai_score_sexual/minors,openai_score_violence/graphic,openai_flagged
"The kind of perversion that leads to homosexuality also leads to pedophilia. Gay men may turn out to be pedophiles. Therefore, It is not worth taking the risk of allowing homosexuals to raise children.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9800506128272968,0.019525513090500914,0.693382385495556,6.46203290719727e-05,0.005297481607239507,4.583129006350382e-05,0.0004581772567173425,0.00021517880026805696,0.000223597696961234,0.02045136126041735,0.02326025837160562,0.010095282373833598,1.7674513810355872e-05,0.019525513090500914,6.46203290719727e-05,4.583129006350382e-05,0.000223597696961234,0.00021517880026805696,0.0004581772567173425,0.02326025837160562,1.7674513810355872e-05,TRUE
"The Jews believe they are The Chosen Ones. The Blacks claim to be the original Hebrews and Israelites. Therefore, Our worst enemies desire to be like us.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9792204377418755,0.0103826083488487,0.3525866425825048,2.0988308820313112e-05,0.005284762288514769,2.4923252458203565e-05,0.0005363182251333737,0.00021663554986598826,0.00023889724921321938,0.00011695102650555148,5.0333557545281144e-05,0.021638226489493314,3.1015598671268335e-05,0.0103826083488487,2.0988308820313112e-05,2.4923252458203565e-05,0.00023889724921321938,0.00021663554986598826,0.0005363182251333737,5.0333557545281144e-05,3.1015598671268335e-05,TRUE
"she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on. Therefore, She may or may not be a Jew but she 's certainly stupid.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9791832527142722,0.5232175102635723,0.5756629102614297,0.004905968677108426,0.0076143472895266575,7.096703991005882e-05,0.0005965196080134016,0.00022342942504316508,0.00023837750867635168,0.0007661644959617213,1.971694219622292e-05,0.7668604024422347,0.0015876537458761227,0.5232175102635723,0.004905968677108426,7.096703991005882e-05,0.00023837750867635168,0.00022342942504316508,0.0005965196080134016,1.971694219622292e-05,0.0015876537458761227,TRUE
"It would be cool if someone secretly detonated a nuclear bomb in Kashmir. Therefore, It would be cool to see the Pakistani and Indian people annihilate each other through a covertly set off nuclear bomb in Kashmir.",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6524624795812092,0.7446279424035187,0.7000128635078332,0.5294140893206168,0.26426051585656163,0.17263094501664572,0.004750591323128602,0.0002618420133366106,0.0003187191366753227,0.00016484829418512883,5.7031570707833595e-05,0.9208660597241709,0.0034930471162305703,0.7446279424035187,0.5294140893206168,0.17263094501664572,0.0003187191366753227,0.0002618420133366106,0.004750591323128602,5.7031570707833595e-05,0.0034930471162305703,TRUE
"I was the only white person in the area through Tooting Broadway in SW London. Nigs and pakis were walking down the street spitting. Therefore, Seeing them made me feel ill.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9785706052879128,0.006207690339061716,0.41417188613593836,1.3135179706526775e-05,2.868540823874629e-05,7.967300986103147e-06,0.0004991029920624177,2.212566909570261e-06,0.0002182938001211795,8.295891883591029e-05,2.0342697805520655e-05,0.0101259440397653,2.6947915555885546e-05,0.006207690339061716,1.3135179706526775e-05,7.967300986103147e-06,0.0002182938001211795,2.212566909570261e-06,0.0004991029920624177,2.0342697805520655e-05,2.6947915555885546e-05,TRUE
"Black people are higher on the evolutionary chain. Black people are like primates. Therefore, Black people are more dangerous to whites than the other primates.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9807350680731532,0.017576197073609044,0.8828185462139667,5.7031570707833595e-05,3.077430764601415e-05,8.349627818261147e-06,9.387641443080782e-06,0.0002123029091656883,4.683888424952456e-06,6.46203290719727e-05,8.481104172358076e-06,0.0011435787590044176,7.14190139989638e-06,0.017576197073609044,5.7031570707833595e-05,8.349627818261147e-06,4.683888424952456e-06,0.0002123029091656883,9.387641443080782e-06,8.481104172358076e-06,7.14190139989638e-06,TRUE
"A person that is second generation London Jamaican is giving out about Ireland. This means that her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter. Therefore, Her opinion does not count.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.977531912972735,0.0008638546840465342,0.7217274032201907,2.931153855960119e-06,1.6734050747377145e-05,1.2411496080609794e-06,9.028039015031105e-06,2.586743108135441e-06,3.024195853395102e-06,0.0001064962672055945,9.761566060239504e-06,0.0004810094217068451,6.814872211615988e-06,0.0008638546840465342,2.931153855960119e-06,1.2411496080609794e-06,3.024195853395102e-06,2.586743108135441e-06,9.028039015031105e-06,9.761566060239504e-06,6.814872211615988e-06,TRUE
"Mulatto children should mate with other mulattos. There are not many mulatto children compared to those of Whites or blacks. Therefore, I would rather see mulatto children end up with blacks so that White bloodlines stay intact.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9777157826346567,0.39787830592030454,0.38677909591785853,0.0035100947076749972,0.01948585271169212,9.253848866495987e-05,0.0005419801381733364,0.0002370990428554366,0.00028962646704221216,0.11914339604337351,0.19604894343055895,0.07107953165555218,6.771942330385674e-05,0.39787830592030454,0.0035100947076749972,9.253848866495987e-05,0.00028962646704221216,0.0002370990428554366,0.0005419801381733364,0.19604894343055895,6.771942330385674e-05,TRUE
"If he is a coke addict, you should try to find out where he gets the coke from and rat him out. Therefore, Ratting out the coke addict will make you a hero and allow you to have your own party while all the nigs are behind bars.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9638345418239922,0.46115183626319023,0.5733473850590701,0.02194670026236633,0.16808072900145524,0.002098984004759127,0.00046462087703568497,0.00022265723214294348,0.0002344992422345146,8.830458477845481e-05,3.1999824407395835e-05,0.03239620240395053,2.737216731838081e-05,0.46115183626319023,0.02194670026236633,0.002098984004759127,0.0002344992422345146,0.00022265723214294348,0.00046462087703568497,3.1999824407395835e-05,2.737216731838081e-05,TRUE
"They come from a dirt poor medieval country. They have spent the last 3 years living in a refugee camp. What skills are they going to bring here?. Therefore, They are not going to integrate into Irish society.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.841207010838883,0.0030306980396891158,0.181885726277442,2.653023768982879e-05,0.0038022916049123058,8.61465062380632e-06,7.602479448313689e-06,1.8058518261159955e-06,3.822911232549001e-06,6.605214485464791e-06,4.400118457925303e-06,0.0005019738542559919,5.225226840386988e-06,0.0030306980396891158,2.653023768982879e-05,8.61465062380632e-06,3.822911232549001e-06,1.8058518261159955e-06,7.602479448313689e-06,4.400118457925303e-06,5.225226840386988e-06,TRUE
