file_id,idx,text_ed,premise0,premise1,premise2,conclusion,concat,weak,check_worthy_premise0,check_worthy_premise1,check_worthy_premise2,check_worthy_conclusion,premise0_hate,premise1_hate,premise2_hate,conclusion_hate,arg_comps_ok,target_ok,only_claims,label
30679934_1,0,"the kind of perversion that leads to homosexuality also leads to pedophilia. why take the risk , and even if the homosexuals turned out not to be pedophiles why would anyone want a child to live with two perverts .",The kind of perversion that leads to homosexuality also leads to pedophilia.,Gay men may turn out to be pedophiles.,,It is not worth taking the risk of allowing homosexuals to raise children.,"The kind of perversion that leads to homosexuality also leads to pedophilia. Gay men may turn out to be pedophiles. Therefore, It is not worth taking the risk of allowing homosexuals to raise children.",premise0,CFS,CFS,,CFS,1.0,1.0,0.0,1.0,1,1,,HS
13470210_2,1,The Jews say they are The Chosen Ones The Blacks say they are the original Hebrews Israelites Our worst enemies want to be us and we refuse to accept that we are HIS ! ... and so it goes ..,The Jews believe they are The Chosen Ones.,The Blacks claim to be the original Hebrews and Israelites.,,Our worst enemies desire to be like us.,"The Jews believe they are The Chosen Ones. The Blacks claim to be the original Hebrews and Israelites. Therefore, Our worst enemies desire to be like us.",conclusion,CFS,CFS,,NFS,0.0,0.0,0.0,0.0,1,1,,HS
12834493_1,2,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on.,,,She may or may not be a Jew but she 's certainly stupid.,"she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on. Therefore, She may or may not be a Jew but she 's certainly stupid.",premise0,NFS,,,NFS,1.0,0.0,0.0,1.0,1,1,,HS
13251831_1,3,"I always thought it would be cool if somebody covertly set off a nuke in Kashmir , and then we all could sit back and watch as the Paki 's and Indians nuke the scheiss out of each other .",It would be cool if someone secretly detonated a nuclear bomb in Kashmir.,,,It would be cool to see the Pakistani and Indian people annihilate each other through a covertly set off nuclear bomb in Kashmir.,"It would be cool if someone secretly detonated a nuclear bomb in Kashmir. Therefore, It would be cool to see the Pakistani and Indian people annihilate each other through a covertly set off nuclear bomb in Kashmir.",conclusion,NFS,,,NFS,1.0,0.0,0.0,1.0,0,1,,HS
14039975_1,4,"Was walking through tooting broadway in SW London a couple of weeks ago .... was the only white dude around and all I could see was nigs and pakis walking down the street spitting , made me feel ill !",I was the only white person in the area through Tooting Broadway in SW London.,Nigs and pakis were walking down the street spitting.,,Seeing them made me feel ill.,"I was the only white person in the area through Tooting Broadway in SW London. Nigs and pakis were walking down the street spitting. Therefore, Seeing them made me feel ill.",conclusion,CFS,UFS,,NFS,1.0,1.0,0.0,1.0,1,1,,HS
14412365_1,5,"I just refer to them as primates as through THEIR evolution process they are just a little bit higher on the evolutionary chain which makes them all the more dangerous to whites , than any of their animalistic cousins .",Black people are higher on the evolutionary chain.,Black people are like primates.,,Black people are more dangerous to whites than the other primates.,"Black people are higher on the evolutionary chain. Black people are like primates. Therefore, Black people are more dangerous to whites than the other primates.",conclusion,UFS,UFS,,CFS,0.0,1.0,0.0,1.0,0,1,,HS
13855831_1,6,another coon giving out about Ireland and as if her opinion counts being second generation London jamican only means her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter,A person that is second generation London Jamaican is giving out about Ireland.,This means that her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter.,,Her opinion does not count.,"A person that is second generation London Jamaican is giving out about Ireland. This means that her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter. Therefore, Her opinion does not count.",premise1,CFS,NFS,,NFS,0.0,1.0,0.0,1.0,1,1,,HS
14088263_1,7,"...mating with other mulattos would be ideal , but since there are n't huge numbers of mulatto children compared to those of Whites or blacks I 'd rather see them up with blacks so that White bloodlines stay intact .",Mulatto children should mate with other mulattos.,There are not many mulatto children compared to those of Whites or blacks.,,I would rather see mulatto children end up with blacks so that White bloodlines stay intact.,"Mulatto children should mate with other mulattos. There are not many mulatto children compared to those of Whites or blacks. Therefore, I would rather see mulatto children end up with blacks so that White bloodlines stay intact.",conclusion,NFS,UFS,,NFS,1.0,1.0,0.0,1.0,0,1,,HS
31755241_1,8,if he 's a coke addict - try to find out where he gets the coke from and rat him out .... you will be a hero and can have your own party while all the nigs are behind bars,"If he is a coke addict, you should try to find out where he gets the coke from and rat him out.",,,Ratting out the coke addict will make you a hero and allow you to have your own party while all the nigs are behind bars.,"If he is a coke addict, you should try to find out where he gets the coke from and rat him out. Therefore, Ratting out the coke addict will make you a hero and allow you to have your own party while all the nigs are behind bars.",conclusion,NFS,,,CFS,0.0,0.0,0.0,1.0,0,1,,HS
13849898_1,9,how the hell are they going to integrate into Irish society ? They come from a dirt poor medieval country and have spent the last 3 years living in a refugee camp.what skills are they going to bring here ?,They come from a dirt poor medieval country.,They have spent the last 3 years living in a refugee camp.,What skills are they going to bring here?,They are not going to integrate into Irish society.,"They come from a dirt poor medieval country. They have spent the last 3 years living in a refugee camp. What skills are they going to bring here? Therefore, They are not going to integrate into Irish society.",premise2,CFS,CFS,CFS,CFS,1.0,0.0,0.0,0.0,1,0,,HS
14406890_1,10,There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .,Black and other non-white individuals are responsible for conning white women and girls into getting in cars with them.,There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc.,,We should teach our women to respect themselves.,"Black and other non-white individuals are responsible for conning white women and girls into getting in cars with them. There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc. Therefore, We should teach our women to respect themselves.",premise0,CFS,UFS,,NFS,1.0,1.0,0.0,0.0,1,1,,HS
31754206_1,11,ya my little sister doesnt like little black girls when they try to talk to her she pulls a disgusted face and says why are you black ?? and i laugh and say `` Maggie dont talk to her '',My little sister does not like little black girls.,"When a little black girl tries to talk to my sister, she pulls a disgusted face.",,I tell my little sister not to talk with black girls.,"My little sister does not like little black girls. When a little black girl tries to talk to my sister, she pulls a disgusted face. Therefore, I tell my little sister not to talk with black girls.",conclusion,NFS,UFS,,UFS,1.0,1.0,0.0,1.0,1,1,,HS
