claim_idx,claim,concat_hate,claim_hate,claim_cw_llm_loop,claim_cw_gold,claim_needed_judge_llm_loop,claim_needed_judge_gold,claim_agreement_count_gold,claim_agreement_count_llm_loop
0_premise0,The kind of perversion that leads to homosexuality also leads to pedophilia.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
1_premise0,The Jews believe they are The Chosen Ones.,1,0.0,CFS,CFS,0.0,1.0,1.0,2.0
2_premise0,she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on.,1,1.0,NFS,NFS,1.0,0.0,2.0,1.0
3_premise0,It would be cool if someone secretly detonated a nuclear bomb in Kashmir.,1,1.0,NFS,NFS,0.0,0.0,3.0,2.0
4_premise0,I was the only white person in the area through Tooting Broadway in SW London.,1,1.0,CFS,UFS,0.0,0.0,2.0,2.0
5_premise0,Black people are higher on the evolutionary chain.,1,0.0,CFS,CFS,1.0,0.0,2.0,1.0
6_premise0,A person that is second generation London Jamaican is giving out about Ireland.,1,0.0,NFS,UFS,1.0,0.0,2.0,1.0
7_premise0,Mulatto children should mate with other mulattos.,1,1.0,NFS,NFS,0.0,0.0,3.0,2.0
8_premise0,"If he is a coke addict, you should try to find out where he gets the coke from and rat him out.",1,0.0,NFS,NFS,1.0,0.0,3.0,1.0
9_premise0,They come from a dirt poor medieval country.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
10_premise0,Black and other non-white individuals are responsible for conning white women and girls into getting in cars with them.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
11_premise0,My little sister does not like little black girls.,1,1.0,NFS,UFS,0.0,0.0,2.0,2.0
12_premise0,The black female perpetrator is making excuses for her actions.,1,1.0,UFS,UFS,1.0,0.0,3.0,1.0
13_premise0,Saw a young girl begging on Grafton Street.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
14_premise0,60% of faggot apes already have AIDS.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
15_premise0,The Jews would not have been able to get as far as they did without looking white.,1,1.0,CFS,NFS,0.0,0.0,2.0,2.0
16_premise0,Simply talking sense to a black monkey and pointing at it will not stop it from misbehaving.,1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
17_premise0,This woman has a child by a mulatto and she 's a wet back too.,1,1.0,UFS,UFS,1.0,0.0,3.0,1.0
18_premise0,White genocide is happening.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
19_premise0,"Ireland, especially Northern Ireland, is filled with memorials and statues of red terrorists.",1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
20_premise0,France has been gone for a long time.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
21_premise0,Soon whites will be extinct.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
22_premise0,I'm going to college with blacks.,1,1.0,UFS,UFS,1.0,0.0,3.0,1.0
23_premise0,I don't watch the Talmudivision and I watch very few modern movies.,1,1.0,UFS,UFS,1.0,0.0,3.0,1.0
24_premise0,"If the holocaust was the truth, there would be no laws against saying it was a lie.",1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
25_premise0,The Jews have the power to decide the correct version of history for everyone.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
26_premise0,There are many alternatives to adopting little mud babies. Surrogate mothers and invitro fertilization are just two.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
27_premise0,We should not limit ourselves to make a stance.,1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
28_premise0,Africa is an area rich in natural resources.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
29_premise0,"Before the age of 10, I had never seen a black person in real life.",1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
30_premise0,"Homosexuals practice a perverse lifestyle that destroys the body , mind , and soul.",1,1.0,NFS,CFS,1.0,0.0,3.0,1.0
31_premise0,The US and Ireland are the 1st world.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
32_premise0,White people used to say that sex was a sin.,1,0.0,CFS,CFS,1.0,0.0,2.0,1.0
33_premise0,The apes went nuts and I could not control them.,1,1.0,UFS,UFS,0.0,0.0,3.0,2.0
34_premise0,Skinheads wear things on their teeth that are supposed to hold up pants.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
35_premise0,There is a piece of legislation called the Prohibition of Foreign Military Assistance Act.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
36_premise0,"As for your sterilization, that's great, as you won't be able to reproduce.",1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
37_premise0,This filth is a sectarian Irish song.,1,1.0,NFS,UFS,1.0,0.0,3.0,1.0
38_premise0,There is a couple in a picture that consists of an Asian female and a White male.,1,0.0,UFS,UFS,1.0,0.0,2.0,1.0
39_premise0,Stormfront Ireland is solely responsible for all racist attacks in Ireland.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
40_premise0,Black people and others are constantly complaining and ignoring the progress in society.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
41_premise0,Some whites are corrupt whores for Jewish supremacists.,1,1.0,CFS,CFS,0.0,1.0,1.0,2.0
42_premise0,"The jews are seen as representing everything vile, deviant, and unnatural.",1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
43_premise0,Asian girls might be more violent and stupid than black males.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
44_premise0,The old Plantation system was profitable (resulting in millions of dollars) for white people.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
45_premise0,These negroes are in the middle of the street.,1,1.0,UFS,UFS,1.0,0.0,3.0,1.0
46_premise0,The mother is a whore.,1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
47_premise0,Monkeys and Apes are noble creatures and they rarely act violently.,1,0.0,CFS,CFS,1.0,0.0,3.0,1.0
