file_id,idx,text_ed,IS,weak,concat,concat_hate,premise0_cw_annA_platinum,premise1_cw_annA_platinum,premise2_cw_annA_platinum,premise3_cw_annA_platinum,premise4_cw_annA_platinum,premise5_cw_annA_platinum,conclusion_cw_annA_platinum,premise0_cw_annB_platinum,premise1_cw_annB_platinum,premise2_cw_annB_platinum,premise3_cw_annB_platinum,premise4_cw_annB_platinum,premise5_cw_annB_platinum,conclusion_cw_annB_platinum,premise0_cw_annC_platinum,premise1_cw_annC_platinum,premise2_cw_annC_platinum,premise3_cw_annC_platinum,premise4_cw_annC_platinum,premise5_cw_annC_platinum,conclusion_cw_annC_platinum,premise0_cw_platinum,premise1_cw_platinum,premise2_cw_platinum,premise3_cw_platinum,premise4_cw_platinum,premise5_cw_platinum,conclusion_cw_platinum,premise0_needed_judge_platinum,premise1_needed_judge_platinum,premise2_needed_judge_platinum,premise3_needed_judge_platinum,premise4_needed_judge_platinum,premise5_needed_judge_platinum,conclusion_needed_judge_platinum
30679934_1,0,"the kind of perversion that leads to homosexuality also leads to pedophilia. why take the risk , and even if the homosexuals turned out not to be pedophiles why would anyone want a child to live with two perverts .",gay men are perverts.,premise0,"The kind of perversion that leads to homosexuality also leads to pedophilia. Gay men may turn out to be pedophiles. Therefore, It is not worth taking the risk of allowing homosexuals to raise children.",1,CFS,CFS,,,,,CFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
13470210_2,1,The Jews say they are The Chosen Ones The Blacks say they are the original Hebrews Israelites Our worst enemies want to be us and we refuse to accept that we are HIS ! ... and so it goes ..,jewish people are inferior to other groups.,conclusion,"The Jews believe they are The Chosen Ones. The Blacks claim to be the original Hebrews and Israelites. Therefore, Our worst enemies desire to be like us.",1,CFS,CFS,,,,,NFS,UFS,CFS,,,,,UFS,NFS,NFS,,,,,NFS,CFS,CFS,,,,,NFS,1.0,0.0,,,,,0.0
12834493_1,2,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",jewish folks are stupid.,premise0,"she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on. Therefore, She may or may not be a Jew but she 's certainly stupid.",1,NFS,,,,,,NFS,UFS,,,,,,UFS,NFS,,,,,,NFS,NFS,,,,,,NFS,0.0,,,,,,0.0
13251831_1,3,"I always thought it would be cool if somebody covertly set off a nuke in Kashmir , and then we all could sit back and watch as the Paki 's and Indians nuke the scheiss out of each other .",Indians and Pakis should be killed.,conclusion,"It would be cool if someone secretly detonated a nuclear bomb in Kashmir. Therefore, It would be cool to see the Pakistani and Indian people annihilate each other through a covertly set off nuclear bomb in Kashmir.",1,NFS,,,,,,NFS,NFS,,,,,,NFS,NFS,,,,,,NFS,NFS,,,,,,NFS,0.0,,,,,,0.0
14039975_1,4,"Was walking through tooting broadway in SW London a couple of weeks ago .... was the only white dude around and all I could see was nigs and pakis walking down the street spitting , made me feel ill !",black folks are inferior.,conclusion,"I was the only white person in the area through Tooting Broadway in SW London. Nigs and pakis were walking down the street spitting. Therefore, Seeing them made me feel ill.",1,CFS,UFS,,,,,NFS,UFS,UFS,,,,,NFS,UFS,UFS,,,,,UFS,UFS,UFS,,,,,NFS,0.0,0.0,,,,,0.0
14412365_1,5,"I just refer to them as primates as through THEIR evolution process they are just a little bit higher on the evolutionary chain which makes them all the more dangerous to whites , than any of their animalistic cousins .",black people are animals.,conclusion,"Black people are higher on the evolutionary chain. Black people are like primates. Therefore, Black people are more dangerous to whites than the other primates.",1,UFS,UFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
13855831_1,6,another coon giving out about Ireland and as if her opinion counts being second generation London jamican only means her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter,immigrants are dirty.,premise1,"A person that is second generation London Jamaican is giving out about Ireland. This means that her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter. Therefore, Her opinion does not count.",1,CFS,NFS,,,,,NFS,UFS,UFS,,,,,NFS,UFS,NFS,,,,,NFS,UFS,NFS,,,,,NFS,0.0,0.0,,,,,0.0
14088263_1,7,"...mating with other mulattos would be ideal , but since there are n't huge numbers of mulatto children compared to those of Whites or blacks I 'd rather see them up with blacks so that White bloodlines stay intact .",black people are inferior to whites.,conclusion,"Mulatto children should mate with other mulattos. There are not many mulatto children compared to those of Whites or blacks. Therefore, I would rather see mulatto children end up with blacks so that White bloodlines stay intact.",1,NFS,UFS,,,,,NFS,NFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
31755241_1,8,if he 's a coke addict - try to find out where he gets the coke from and rat him out .... you will be a hero and can have your own party while all the nigs are behind bars,black folks are criminals.,conclusion,"If he is a coke addict, you should try to find out where he gets the coke from and rat him out. Therefore, Ratting out the coke addict will make you a hero and allow you to have your own party while all the nigs are behind bars.",1,NFS,,,,,,CFS,NFS,,,,,,NFS,NFS,,,,,,NFS,NFS,,,,,,NFS,0.0,,,,,,0.0
13849898_1,9,how the hell are they going to integrate into Irish society ? They come from a dirt poor medieval country and have spent the last 3 years living in a refugee camp.what skills are they going to bring here ?,immigrants are poor and can't learn.,premise2,"They come from a dirt poor medieval country. They have spent the last 3 years living in a refugee camp. What skills are they going to bring here? Therefore, They are not going to integrate into Irish society.",1,CFS,CFS,CFS,,,,CFS,CFS,CFS,NFS,,,,NFS,UFS,CFS,NFS,,,,NFS,CFS,CFS,NFS,,,,NFS,0.0,0.0,0.0,,,,0.0
